TERR,LIB_TERR,periode,periode_milieu,periode_nb_annees,POPULATION_debut,POPULATION_fin,DECES,NAISSANCES,EVOL_DEMO_TOT,EVOL_DEMO_SN,EVOL_DEMO_SMA,TX_EVOL_DEMO_AN_TOT,TX_EVOL_DEMO_AN_SN,TX_EVOL_DEMO_AN_SMA,NIV_TERR
200005932,CC des Portes de Sologne,1982_1990,1986,8,11061,12812,911,1157,1751,246,1505,0.0185393620106509,0.00260461625049692,0.0159347457601539,EPCI
200005932,CC des Portes de Sologne,1990_1999,1994.5,9,12812,13887,958,1340,1075,382,693,0.00899251623294584,0.00319548018696308,0.00579703604598276,EPCI
200005932,CC des Portes de Sologne,1999_2010,2004.5,11,13887,14986,1217,1846,1099,629,470,0.00694796051151236,0.00397658522451436,0.00297137528699801,EPCI
200005957,CC de la Région de Rambervillers,2010_2015,2012.5,5,13536,13452,746,786,-84,40,-124,-0.00124422710396288,0.000592489097125181,-0.00183671620108806,EPCI
200005957,CC de la Région de Rambervillers,1968_1975,1971.5,7,14254,13621,1148,1599,-633,451,-1084,-0.00646825442613463,0.00460850354847823,-0.0110767579746129,EPCI
200005957,CC de la Région de Rambervillers,1975_1982,1978.5,7,13621,13258,1155,1286,-363,131,-494,-0.00385136093277827,0.00138988507491447,-0.00524124600769274,EPCI
200005957,CC de la Région de Rambervillers,1982_1990,1986,8,13258,12868,1242,1549,-390,307,-697,-0.00372523583383066,0.00293242923329747,-0.00665766506712814,EPCI
200005957,CC de la Région de Rambervillers,1990_1999,1994.5,9,12868,13260,1285,1633,392,348,44,0.00333982877236072,0.00296495003260595,0.000374878739754775,EPCI
200005957,CC de la Région de Rambervillers,1999_2010,2004.5,11,13260,13536,1581,1862,276,281,-5,0.00187455643430212,0.001908515789996,-3.39593556938789e-05,EPCI
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",2010_2015,2012.5,5,52951,52364,2626,2860,-587,234,-821,-0.00222704151355713,0.000887781455148838,-0.00311482296870596,EPCI
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1968_1975,1971.5,7,42415,44658,3687,5111,2243,1424,819,0.00738879044052854,0.00469087721235517,0.00269791322817337,EPCI
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1975_1982,1978.5,7,44658,47277,3454,4568,2619,1114,1505,0.00817472590042168,0.00347714572473072,0.00469758017569096,EPCI
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1982_1990,1986,8,47277,49492,3922,5453,2215,1531,684,0.00573980001954833,0.0039673290428571,0.00177247097669122,EPCI
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1990_1999,1994.5,9,49492,51116,4446,5742,1624,1296,328,0.00359383343259512,0.00286798530088871,0.000725848131706403,EPCI
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1999_2010,2004.5,11,51116,52951,5517,6718,1835,1201,634,0.00321145460319294,0.00210188391195353,0.00110957069123941,EPCI
200006716,CC du Nogentais,2010_2015,2012.5,5,16583,16805,933,1050,222,117,105,0.00266321746872245,0.00140358758486723,0.00125962988385521,EPCI
200006716,CC du Nogentais,1968_1975,1971.5,7,11893,11913,1226,1239,20,13,7,0.000240064392576178,0.000156041855174516,8.40225374016623e-05,EPCI
200006716,CC du Nogentais,1975_1982,1978.5,7,11913,12469,1254,1076,556,-178,734,0.00653775315897298,-0.00209302169477912,0.0086307748537521,EPCI
200006716,CC du Nogentais,1982_1990,1986,8,12469,13593,1539,1468,1124,-71,1195,0.0108470813912958,-0.000685180408169038,0.0115322617994648,EPCI
200006716,CC du Nogentais,1990_1999,1994.5,9,13593,15292,1528,1841,1699,313,1386,0.0131720933858444,0.00242664227767468,0.0107454511081697,EPCI
200006716,CC du Nogentais,1999_2010,2004.5,11,15292,16583,2045,2222,1291,177,1114,0.00739523416436239,0.00101390894430065,0.00638132522006173,EPCI
200006930,CC du Haut-Allier,2010_2015,2012.5,5,5370,5217,429,187,-153,-242,89,-0.00576439862599565,-0.00911754553915652,0.00335314691316087,EPCI
200006930,CC du Haut-Allier,1968_1975,1971.5,7,7444,6621,750,578,-823,-172,-651,-0.0165981251892714,-0.00346886698973837,-0.013129258199533,EPCI
200006930,CC du Haut-Allier,1975_1982,1978.5,7,6621,6147,693,495,-474,-198,-276,-0.0105556451505482,-0.00440932012617836,-0.00614632502436983,EPCI
200006930,CC du Haut-Allier,1982_1990,1986,8,6147,5647,723,479,-500,-244,-256,-0.0105489315092354,-0.00514787857650688,-0.00540105293272853,EPCI
200006930,CC du Haut-Allier,1990_1999,1994.5,9,5647,5279,745,435,-368,-310,-58,-0.00745956550516314,-0.00628387311576242,-0.00117569238940071,EPCI
200006930,CC du Haut-Allier,1999_2010,2004.5,11,5279,5370,954,523,91,-431,522,0.00155495520737303,-0.00736467796019535,0.00891963316756838,EPCI
200006971,CC du Perche,2010_2015,2012.5,5,19686,18338,1169,836,-1348,-333,-1015,-0.0140863090219222,-0.00347977811891698,-0.0106065309030052,EPCI
200006971,CC du Perche,1968_1975,1971.5,7,19526,20916,1544,2524,1390,980,410,0.00987234256046254,0.00696035662536208,0.00291198593510046,EPCI
200006971,CC du Perche,1975_1982,1978.5,7,20916,20446,1538,2220,-470,682,-1152,-0.00324147105090689,0.00470358139727339,-0.00794505244818028,EPCI
200006971,CC du Perche,1982_1990,1986,8,20446,19694,1708,1943,-752,235,-987,-0.00467320189194376,0.00146037559123242,-0.00613357748317618,EPCI
200006971,CC du Perche,1990_1999,1994.5,9,19694,19742,2027,2011,48,-16,64,0.00027051715762294,-9.01723858743135e-05,0.000360689543497254,EPCI
200006971,CC du Perche,1999_2010,2004.5,11,19742,19686,2489,2396,-56,-93,37,-0.000258205094659458,-0.000428804889345172,0.000170599794685714,EPCI
200007052,CC de la Marche Berrichonne,2010_2015,2012.5,5,5936,5734,525,177,-202,-348,146,-0.00690050907083073,-0.0118880057259856,0.00498749665515488,EPCI
200007052,CC de la Marche Berrichonne,1968_1975,1971.5,7,9872,8798,994,747,-1074,-247,-827,-0.0163193785575437,-0.00375315316919302,-0.0125662253883507,EPCI
200007052,CC de la Marche Berrichonne,1975_1982,1978.5,7,8798,8049,913,488,-749,-425,-324,-0.012630494773423,-0.00716683615314391,-0.00546365862027913,EPCI
200007052,CC de la Marche Berrichonne,1982_1990,1986,8,8049,7159,979,420,-890,-559,-331,-0.0145404458864082,-0.00913270702303618,-0.00540773886337205,EPCI
200007052,CC de la Marche Berrichonne,1990_1999,1994.5,9,7159,6209,1064,356,-950,-708,-242,-0.0156944770672037,-0.0116965155406108,-0.00399796152659295,EPCI
200007052,CC de la Marche Berrichonne,1999_2010,2004.5,11,6209,5936,1243,402,-273,-841,568,-0.0040793247228248,-0.0125667109593247,0.00848738623649994,EPCI
200007177,CC Pays de Nérondes,2010_2015,2012.5,5,5126,5015,340,254,-111,-86,-25,-0.00436886990582897,-0.00338489019730893,-0.000983979708520037,EPCI
200007177,CC Pays de Nérondes,1968_1975,1971.5,7,5743,5243,666,438,-500,-228,-272,-0.0129282553871993,-0.00589528445656289,-0.00703297093063643,EPCI
200007177,CC Pays de Nérondes,1975_1982,1978.5,7,5243,5065,606,313,-178,-293,115,-0.00492209173710489,-0.0081020948256839,0.003180003088579,EPCI
200007177,CC Pays de Nérondes,1982_1990,1986,8,5065,4987,611,401,-78,-210,132,-0.00193807090259679,-0.00521788319929905,0.00327981229670226,EPCI
200007177,CC Pays de Nérondes,1990_1999,1994.5,9,4987,5053,706,438,66,-268,334,0.00146191196918233,-0.0059362486021343,0.00739816057131663,EPCI
