TERR,LIB_TERR,AGEREVS,type_indice,valeur,NIV_TERR
200035863,"CC Région Lézignanaise, Corbières et Minervois",GLOBAL,IRI,0.0457871758198525,EPCI
200035970,CC Vexin Centre,GLOBAL,IRI,0.0739452340528684,EPCI
200036069,CC du Pays de Mortagne-au-Perche,GLOBAL,IRI,0.0884501535133867,EPCI
200036077,CC du Golfe de Saint-Tropez,GLOBAL,IRI,0.0505661658311313,EPCI
200036135,CC Coeur de France,GLOBAL,IRI,0.0507231101548955,EPCI
200036150,CC des Hauts du Val de Saône,GLOBAL,IRI,0.128200761264605,EPCI
200036465,CC de Thann-Cernay,GLOBAL,IRI,0.0927929321449532,EPCI
200036473,CA de Saintes,GLOBAL,IRI,0.0612970098216596,EPCI
200036499,CC de Marana-Golo,GLOBAL,IRI,0.025497725110249,EPCI
200036523,CC des Bastides en Haut-Agenais Périgord,GLOBAL,IRI,0.0891454703416725,EPCI
200036549,CC Val de Gray,GLOBAL,IRI,0.0756208503600074,EPCI
200036572,CC Porte d'Aquitaine en Pays de Serres,GLOBAL,IRI,0.0917721480921827,EPCI
200037059,CC de la Haute Somme (Combles - Péronne - Roisel),GLOBAL,IRI,0.0743434542994353,EPCI
200037133,CC du Provinois,GLOBAL,IRI,0.0631531674594974,EPCI
200038958,CC de la Pieve de l'Ornano,GLOBAL,IRI,0.0159659357900439,EPCI
200038990,CC de Saint-Méen Montauban,GLOBAL,IRI,0.105408555620079,EPCI
200039022,CA Vitré Communauté,GLOBAL,IRI,0.122008772922342,EPCI
200039055,CC Ouche et Montagne,GLOBAL,IRI,0.0760680564446999,EPCI
200039063,"CC Forêts, Seine et Suzon",GLOBAL,IRI,0.120873213169484,EPCI
200039204,CC de Lacq-Orthez,GLOBAL,IRI,0.0807148263352857,EPCI
200039519,CC du Quercy Blanc,GLOBAL,IRI,0.067006357021735,EPCI
200039642,CC Le Tonnerrois en Bourgogne,GLOBAL,IRI,0.0863393428483302,EPCI
200039709,CC du Serein,GLOBAL,IRI,0.0665104728901,EPCI
200039758,"CC Avallon, Vézelay, Morvan",GLOBAL,IRI,0.0793461843864255,EPCI
200039808,CC des Gorges de l'Ardèche,GLOBAL,IRI,0.0480198620738971,EPCI
200039824,CC Ardèche des Sources et Volcans,GLOBAL,IRI,0.0411642889687351,EPCI
200039832,CC Pays des Vans en Cévennes,GLOBAL,IRI,0.00759896482939195,EPCI
200039857,CA du Pays de Grasse,GLOBAL,IRI,0.0443472101678418,EPCI
200039865,Metz Métropole,GLOBAL,IRI,0.0887454832967412,EPCI
200039907,CC du Sud Messin,GLOBAL,IRI,0.07816071780761,EPCI
200039915,CA Cannes Pays de Lérins,GLOBAL,IRI,0.0548622397023759,EPCI
200039931,CC Alpes d'Azur,GLOBAL,IRI,0.0466203617238671,EPCI
200039949,CC Rives de Moselle,GLOBAL,IRI,0.11580844830658,EPCI
