TERR,LIB_TERR,nb_ind_ISO,nb_ind_SORT,nb_ind_ENTR,SM,nb_ind_PRES,nb_ind_AUTO,TM,PS,PE,TR,NIV_TERR
200011773,CA Annemasse-les Voirons-Agglomération,81773.2300435084,4569.17123158358,4341.01758043909,-228.153651144491,86114.2476239475,86342.4012750919,-0.00264592467267595,0.0529192049804815,0.0504099809290083,0.103332505518403,EPCI
200011781,CC Portes du Berry entre Loire et Val d'Aubois,9325.98691520596,506.7123439077,453.947331702038,-52.7650122056618,9779.934246908,9832.69925911366,-0.00538071668850196,0.0515333918545349,0.0464161946534106,0.0979633536021347,EPCI
200012060,CC Petite Montagne,6260.23314914036,345.693971839475,384.491453202821,38.7974813633463,6644.72460234318,6605.92712097984,0.00585593556806828,0.0523308788469042,0.0578641668711499,0.110211247007129,EPCI
200013050,CC Sauer-Pechelbronn,16529.8592091812,682.039150704934,771.636287784814,89.5971370798798,17301.495496966,17211.8983598861,0.00519202124551954,0.0396260270914967,0.044599398238154,0.0842383362539784,EPCI
200015162,CC de l'Oriente,5666.9014650643,282.140640513277,310.054945281607,27.9143047683298,5976.95641034591,5949.04210557758,0.00468125243032001,0.0474262302243168,0.05187505546216,0.0993116987234552,EPCI
200016905,CC du Pays de Lamastre,6364.3142780129,283.499828929352,173.817331428162,-109.68249750119,6538.13160944106,6647.81410694225,-0.0166362731745378,0.0426455710657276,0.0265851686401005,0.069364332326851,EPCI
200017341,CC Lodévois et Larzac,13421.204710259,658.497915285671,824.698113946633,166.200198660962,14245.9028242056,14079.7026255447,0.0117349794309464,0.0467693056308565,0.0578901965093686,0.104724753853082,EPCI
200017846,CA Étampois Sud-Essonne,49877.1549968259,2708.28117029945,2691.96022254599,-16.3209477534647,52569.1152193719,52585.4361671254,-0.000310418285053146,0.0515024951336732,0.0512080184593632,0.102710559298509,EPCI
200018083,CC de Desvres-Samer,21328.9487966762,934.086583886055,849.650863227257,-84.4357206587981,22178.5996599035,22263.0353805623,-0.00379984762405417,0.0419568386753588,0.0383094909622872,0.0802732593204168,EPCI
200018166,CC Le Grésivaudan,94304.977207044,4350.82829038408,5000.68198544199,649.853695057909,99305.659192486,98655.8054974281,0.00656545652534787,0.0441010872948323,0.0503564653425146,0.0944780873436577,EPCI
200018406,CC du Romorantinais et du Monestois,31565.7732616271,1236.49691267611,1305.56201160661,69.0650989304973,32871.3352732337,32802.2701743032,0.0021032833041478,0.037695467603482,0.0397173403743563,0.0774149342634593,EPCI
200018521,CC du Val de Bouzanne,5640.10927280152,266.402152838194,352.741101443007,86.3389486048137,5992.85037424453,5906.51142563972,0.0145115259216093,0.0451031300272717,0.0588603217859372,0.104063270735616,EPCI
200018653,CA Cap Excellence,97898.7811178875,4328.54847993986,3613.11321011489,-715.435269824971,101511.894328002,102227.329597827,-0.00702304893519592,0.0423423804277076,0.0355930035000657,0.0779590845299958,EPCI
200022986,CC du Grand Pic Saint-Loup,43934.1792260238,2073.79183949592,2744.60704544674,670.815205950819,46678.7862714705,46007.9710655197,0.0144748877881631,0.0450746205813477,0.058797738002117,0.103971678875849,EPCI
200023075,CC du Pays de Maîche,17544.0861310215,710.995881175369,773.673637895065,62.6777567196965,18317.7597689166,18255.0820121969,0.00342755737138611,0.0389478327569456,0.0422362585630102,0.0811897269540117,EPCI
200023125,CC Les Portes Briardes entre Villes et Forêts,43052.3114827054,2648.03652954781,2439.90502337278,-208.131506175035,45492.2165060781,45700.3480122532,-0.0045646595700946,0.057943465306606,0.0536334610789251,0.111586763236554,EPCI
200023240,CC Pays de Nemours,28349.1525618483,1513.95627544575,1430.0039249602,-83.9523504855513,29779.1564868085,29863.1088372941,-0.00281519657341467,0.0506965394559011,0.0480202965316917,0.0987206030625477,EPCI
200023299,CC Coeur de Tarentaise,8672.9336518478,783.068998126935,486.827017559725,-296.24198056721,9159.76066940753,9456.00264997474,-0.0318270033288154,0.0828118420767392,0.0531484429703134,0.136432333598105,EPCI
200023307,CA du Grand Villeneuvois,45201.0833434105,2193.77072819859,2171.57156297932,-22.1991652192664,47372.6549063898,47394.8540716091,-0.000468497388159061,0.046287107981892,0.0458401912932773,0.09212740396482,EPCI
200023372,CC de la Vallée de Chamonix-Mont-Blanc,12393.5072683969,810.22200384932,519.316419594481,-290.90558425484,12912.8236879914,13203.7292722462,-0.0222774869790621,0.0613631184904993,0.0402171075933943,0.101815766075103,EPCI
200023414,Métropole Rouen Normandie,462782.756322833,18824.4313296049,18470.4777364677,-353.953593137197,481253.234059301,481607.187652438,-0.000735212674975157,0.0390866910050976,0.0383799555603438,0.0774669063658699,EPCI
200023620,CC de la Gascogne Toulousaine,18903.7766928701,996.551326178218,1661.22146008047,664.670133902249,20564.9981529506,19900.3280190483,0.0328513419650716,0.0500771306495216,0.0807790716889572,0.131360502320518,EPCI
200023737,CA du Grand Cahors,38253.2392480485,2008.39244872361,2083.47877364216,75.0863249185586,40336.7180216906,40261.6316967721,0.0018632223905537,0.0498835333811031,0.0516521639792756,0.101537345036444,EPCI
200023778,CC du Pays de Saint-Gilles-Croix-de-Vie,44888.2158397394,2031.93576175421,2402.01119140034,370.075429646129,47290.2270311397,46920.1516014936,0.00785636221863011,0.0433062488589557,0.050792972294649,0.0941286303591754,EPCI
200023794,CC de Blaye,18630.2917020796,1426.37761845624,1448.70891271835,22.3312942621083,20079.0006147979,20056.6693205358,0.00111279040803795,0.0711173722645858,0.0721504491439018,0.143268396207509,EPCI
200023919,CC Gâtinais Val de Loing,17426.0927452423,1039.90603652578,1254.66668709277,214.760650566984,18680.759432335,18465.9987817681,0.0115628206008808,0.0563146379903647,0.0671635803478648,0.123540940525324,EPCI
200026573,CC Haut-Jura Saint-Claude,20432.4736853479,872.983972232587,651.417129102032,-221.566843130556,21083.89081445,21305.4576575805,-0.0104538923629247,0.0409746641570958,0.0308964381780795,0.0719237806799723,EPCI
200027027,CC Arc Sud Bretagne,25285.5110701123,1345.51354229874,1428.63408287597,83.1205405772237,26714.1451529883,26631.0246124111,0.00311632865516297,0.050524287438482,0.0534785625628061,0.104007453247401,EPCI
200027076,CC Arnon Boischaut Cher,7712.74965186217,445.682298401483,446.774745231123,1.09244682963993,8159.52439709329,8158.43195026365,0.000133895054795495,0.0546284262856516,0.0547549983906268,0.109383433149968,EPCI
200027100,CC Méditerranée Porte des Maures,39464.5752181209,2001.84383543607,2576.69698473646,574.853149300388,42041.2722028573,41466.419053557,0.013767669555976,0.0482762650146023,0.0612897005662291,0.109655547921063,EPCI
200027183,CU Perpignan Méditerranée Métropole,251453.448798285,10385.8408785599,11210.9840673702,825.143188810254,262664.432865655,261839.289676845,0.00314637686386828,0.0396649444450369,0.042681774403405,0.0823514648904335,EPCI
200027217,CC Sarlat-Périgord Noir,15249.4063592005,846.329921960844,847.622785318962,1.29286335811753,16097.0291445195,16095.7362811614,8.03201179533451e-05,0.0525810007803991,0.0526570945302382,0.105238098366567,EPCI
200027308,CC d'Auberive Vingeanne et Montsaugeonnais,8056.69794566408,314.607720355076,283.915619104897,-30.6921012501782,8340.61356476897,8371.30566601915,-0.00367307917496807,0.03758167876155,0.0340401358845069,0.0716283188297514,EPCI
200027548,CC des Savanes,28885.2177991414,1552.76717435915,1390.68259408737,-162.084580271779,30275.9003932288,30437.9849735006,-0.00533929196897026,0.0510141251370942,0.0459336494051354,0.0969613376138667,EPCI
200029734,CC des 4B Sud Charente,18791.917859486,813.773690976038,1037.24065962346,223.466968647427,19829.1585191094,19605.691550462,0.0113334762654446,0.0415070128427509,0.0523088591290383,0.0938770832060435,EPCI
200029999,CC Rives de l'Ain - Pays du Cerdon,12846.9614698299,1046.46760006016,1159.29485836115,112.827258300988,14006.2563281911,13893.4290698901,0.0080880667069277,0.0753210452794607,0.0827697873862115,0.158120955627193,EPCI
200030195,Métropole Nice Côte d'Azur,513401.632680316,17813.9259928022,15532.9448226971,-2280.98117010507,528934.577503013,531215.558673118,-0.00430312857069918,0.0335342700377568,0.0293664764667585,0.0629097137803114,EPCI
200030385,CA de Blois Agglopolys,99668.8526967101,4762.95905243464,4398.07385012365,-364.885202310988,104066.926546834,104431.811749145,-0.00350011904429856,0.0456083158250258,0.0422619750199345,0.0878761471405507,EPCI
200030435,CC d'Aire-sur-l'Adour,11808.2805614963,754.16809716169,993.256625193525,239.088528031835,12801.5371866898,12562.4486586579,0.0188525990741071,0.0600335267155041,0.077588855987252,0.137787864494943,EPCI
200030526,CC du Ried de Marckolsheim,18956.3216973728,875.803059523655,895.642116925436,19.8390574017812,19851.9638142983,19832.1247568965,0.000999849466931273,0.0441608284669095,0.0451160462160602,0.0892773522199484,EPCI
200030633,CC du Caudrésis et du Catésis,62381.6082054888,2725.07230819021,2214.29704294349,-510.775265246712,64595.9052484323,65106.680513679,-0.00787609995969594,0.041855494500563,0.0342792168393249,0.0761645470999791,EPCI
200030658,CC du Trièves,9442.72269929616,464.681850179669,403.979640427142,-60.7022097525276,9846.7023397233,9907.40454947583,-0.00614578123860588,0.0469024806506215,0.0410268967710558,0.0879474324482637,EPCI
200030674,CA Val de Garonne Agglomération,57003.5918561654,2342.54784291621,2535.09192691184,192.544083995629,59538.6837830773,59346.1396990816,0.00323917012039007,0.0394726237425762,0.0425789044337657,0.0820565590621421,EPCI
200032514,CC Berry-Loire-Vauvise,5338.90164943158,215.116606445043,279.997347843577,64.8807413985334,5618.89899727515,5554.01825587662,0.0116139303511321,0.0387317067633748,0.0498313545018979,0.0886275165331514,EPCI
200033025,CA de Bar-le-Duc - Sud Meuse,33794.0197407163,1366.03563865371,1492.6620518423,126.626413188591,35286.6817925586,35160.05537937,0.00359495466424665,0.0388519194271585,0.0423010035519147,0.081159122629604,EPCI
200033090,CC Plaines et Monts de France,22268.9999455274,1421.68502010487,1357.4539538578,-64.2310662470745,23626.4538993852,23690.6849656322,-0.00271491758748591,0.060010296121336,0.0574548326057989,0.117468597663556,EPCI
200033116,CC Cluses-Arve et Montagnes,42709.4163834562,2310.11415824513,2227.34696048769,-82.7671977574482,44936.7633439439,45019.5305417013,-0.00184016468848003,0.0513135994633549,0.0495662525455979,0.100881459712001,EPCI
200033173,CC de la Haute Vallée de Chevreuse,22597.2915090953,1610.00923238736,1924.69880396751,314.689571580155,24521.9903130628,24207.3007414826,0.012915828027455,0.06650924238027,0.0784886862524463,0.145075290851175,EPCI
200033181,CA Chartres Métropole,129107.634733462,5853.1356564066,5234.75412804548,-618.381528361127,134342.388861507,134960.770389868,-0.00459245654659335,0.0433691630501096,0.038965766296161,0.0823450405503955,EPCI
200033207,CC Vierzon-Sologne-Berry,30470.7047779351,1640.39601493772,1412.56564968955,-227.830365248172,31883.2704276246,32111.1007928728,-0.00712032514432137,0.0510850134200884,0.0443042897025287,0.0954134436014086,EPCI
